"mkt","measure","Value"
"BEARING - APPLICATIONS","NUMBER",1.8
"BEARING - APPLICATIONS","NUMBER",1.5
"BEARING - APPLICATIONS","NUMBER",5.2
"BEARING - APPLICATIONS","NUMBER",1.6
"BEARING - APPLICATIONS","NUMBER",2.1
"BEARING - APPLICATIONS","NUMBER",2
"BEARING - APPLICATIONS","NUMBER",7.1
"BEARING - APPLICATIONS","NUMBER",2.4
"BEARING - APPLICATIONS","NUMBER",4
"BEARING - APPLICATIONS","NUMBER",4.1
"BEARING - APPLICATIONS","NUMBER",6.4
"BEARING - APPLICATIONS","NUMBER",1.3
"BEARING - APPLICATIONS","NUMBER",3.8
"BEARING - APPLICATIONS","NUMBER",3.1
"BEARING - APPLICATIONS","NUMBER",2.3
"BEARING - APPLICATIONS","NUMBER",1.7
"BEARING - APPLICATIONS","NUMBER",1.2
"BEARING - APPLICATIONS","NUMBER",3
"BEARING - APPLICATIONS","NUMBER",1.9
"BEARING - TREATED","PCT OF AREA BEARING",24
"BEARING - TREATED","PCT OF AREA BEARING",NA
"BEARING - TREATED","PCT OF AREA BEARING",70
"BEARING - TREATED","PCT OF AREA BEARING",17
"BEARING - TREATED","PCT OF AREA BEARING",88
"BEARING - TREATED","PCT OF AREA BEARING",81
"BEARING - TREATED","PCT OF AREA BEARING",26
"BEARING - TREATED","PCT OF AREA BEARING",87
"BEARING - TREATED","PCT OF AREA BEARING",56
"BEARING - TREATED","PCT OF AREA BEARING",23
"BEARING - TREATED","PCT OF AREA BEARING",46
"BEARING - TREATED","PCT OF AREA BEARING",19
"BEARING - TREATED","PCT OF AREA BEARING",31
"BEARING - TREATED","PCT OF AREA BEARING",69
"BEARING - TREATED","PCT OF AREA BEARING",44
"BEARING - TREATED","PCT OF AREA BEARING",75
"BEARING - TREATED","PCT OF AREA BEARING",50
"BEARING - TREATED","PCT OF AREA BEARING",15
"BEARING - TREATED","PCT OF AREA BEARING",92
"BEARING - TREATED","PCT OF AREA BEARING",29
"BEARING - TREATED","PCT OF AREA BEARING",28
"BEARING - TREATED","PCT OF AREA BEARING",30
"BEARING - TREATED","PCT OF AREA BEARING",43
"BEARING - TREATED","PCT OF AREA BEARING",57
"BEARING - TREATED","PCT OF AREA BEARING",61
"BEARING - TREATED","PCT OF AREA BEARING",60
"BEARING - TREATED","PCT OF AREA BEARING",7
"BEARING - TREATED","PCT OF AREA BEARING",34
"BEARING - TREATED","PCT OF AREA BEARING",16
"BEARING - TREATED","PCT OF AREA BEARING",47
"BEARING - TREATED","PCT OF AREA BEARING",73
"BEARING - TREATED","PCT OF AREA BEARING",37
"BEARING - TREATED","PCT OF AREA BEARING",55
